,Urine_Complaints,Rodent_Complaints,Graffiti_Complaints,Air_Quality_Complaints,Party_Bar_Complaints,Price_per_sqft,Total_Trees,Share_of_Good,Incident_Zip,Niceness_rescaled,cluster
0,0.666666666667,0.119147065289,0.15573964497,0.437679083095,0.195392491468,0.9197997355,0.0347392204858,0.833030822865,10001.0,0.815280408755,17
1,0.537037037037,0.407122444493,1.0,0.457736389685,0.879052901024,0.711222369167,0.0963095462248,0.666216606785,10002.0,0.357671436588,3
2,0.0740740740741,0.00725434161354,0.00165680473373,0.0916905444126,0.0108788395904,0.812960513886,0.000235360572397,0.797284937807,10004.0,0.90978987397,12
3,0.12962962963,0.00175862826995,0.00260355029586,0.0730659025788,0.0138651877133,0.718968448895,0.000847298060629,0.0,10005.0,0.3674866219,5
4,0.185185185185,0.0628709606507,0.0179881656805,0.117478510029,0.0275170648464,0.989608917438,0.0106382978723,0.758168101889,10007.0,0.948640258144,12
5,0.759259259259,0.322928116069,0.329940828402,0.445558739255,1.0,0.721141129794,0.0819996234231,0.706654321439,10009.0,0.505047655974,8
6,0.685185185185,0.243350186854,0.0899408284024,0.5,0.607508532423,1.0,0.11254942572,0.663886168207,10014.0,0.752964388984,17
7,0.240740740741,0.0466036491537,0.0331360946746,0.269340974212,0.0919368600683,0.957207632722,0.0154867256637,0.88586803489,10018.0,1.0,12
8,0.62962962963,0.222686304682,0.0227218934911,0.620343839542,0.0853242320819,0.8786132628,0.0984277913764,0.72936315996,10023.0,0.746605820193,17
9,0.648148148148,0.355023081996,0.0705325443787,0.813037249284,0.160622866894,0.798885320234,0.146817925061,0.852730289793,10024.0,0.725995022473,17
10,0.611111111111,0.61595955155,0.131360946746,1.0,0.332551194539,0.67948233516,0.16277537187,0.699823908867,10025.0,0.460505908899,6
11,0.37037037037,0.340734227303,0.103195266272,0.308022922636,0.121800341297,0.463914604194,0.0779984936923,0.579142951117,10026.0,0.38889171791,6
12,0.277777777778,0.373488678831,0.171360946746,0.300859598854,0.251493174061,0.494048743624,0.100263603841,0.532146492641,10029.0,0.379486870401,6
